species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,body_mass_g_capped,bill_ratio
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,Female,4850.0,3.0272108843537415
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male,5200.0,3.2356687898089174
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male,4925.0,3.1265822784810124
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,Female,4875.0,3.212328767123288
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,Female,4625.0,3.3611111111111107
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male,5250.0,3.096969696969697
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,4850.0,3.2333333333333334
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,5600.0,3.288235294117647
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female,4975.0,3.045161290322581
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male,5500.0,3.2733333333333334
Gentoo,Biscoe,47.3,13.8,216.0,4725.0,Male,4725.0,3.4275362318840576
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,Male,5500.0,2.9068322981366457
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female,4700.0,2.8367346938775513
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male,5500.0,3.3797468354430378
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female,4575.0,3.0928571428571425
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,Male,5500.0,3.185430463576159
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female,5000.0,3.322368421052632
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,Male,5950.0,3.132075471698113
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female,4650.0,2.861842105263158
Gentoo,Biscoe,51.5,16.3,230.0,5500.0,Male,5500.0,3.1595092024539877
Gentoo,Biscoe,46.2,14.1,217.0,4375.0,Female,4375.0,3.276595744680851
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male,5850.0,3.44375
Gentoo,Biscoe,44.5,15.7,217.0,4875.0,Male,4875.0,2.8343949044585988
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male,6000.0,3.0123456790123457
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female,4925.0,3.445255474452555
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female,4850.0,3.2727272727272725
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,Male,5750.0,3.210191082802548
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female,5200.0,3.054054054054054
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male,5400.0,3.0993788819875774
